[2025-12-01 21:07:16] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/index.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:10:14] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:10:37] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 207.244.89.162 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:10:51] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:18:12] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.180.111 | Localização: SG | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:35:23] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:36:42] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:37:31] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:38:55] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:43:09] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 22:50:48] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
