[STATS OK] Usuario: 2, Dominio: 2, Status: BRASIL - SITE NORMAL, Bot: 0, BR: 1, Int: 0
[STATS OK] Usuario: 2, Dominio: 2, Status: BRASIL - SITE NORMAL, Bot: 0, BR: 1, Int: 0
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: BRASIL - SITE NORMAL, Bot: 0, BR: 1, Int: 0
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
[STATS OK] Usuario: 2, Dominio: 6, Status: BRASIL - SITE NORMAL, Bot: 0, BR: 1, Int: 0
[STATS OK] Usuario: 2, Dominio: 6, Status: INTERNACIONAL - REDIRECIONADO, Bot: 0, BR: 0, Int: 1
